,score,winLEN,tag,cv,seed,subject
127,1.0,0.3,wn,1,21.0,miaoyining
128,0.975,0.3,wn,2,21.0,miaoyining
129,0.975,0.3,wn,3,21.0,miaoyining
130,0.95,0.3,wn,4,21.0,miaoyining
131,0.975,0.3,wn,5,21.0,miaoyining
132,1.0,0.3,wn,0,22.0,miaoyining
133,0.95,0.3,wn,1,22.0,miaoyining
134,1.0,0.3,wn,2,22.0,miaoyining
135,0.975,0.3,wn,3,22.0,miaoyining
136,0.925,0.3,wn,4,22.0,miaoyining
137,0.95,0.3,wn,5,22.0,miaoyining
138,0.975,0.3,wn,0,23.0,miaoyining
139,0.975,0.3,wn,1,23.0,miaoyining
140,0.975,0.3,wn,2,23.0,miaoyining
141,1.0,0.3,wn,3,23.0,miaoyining
142,0.95,0.3,wn,4,23.0,miaoyining
143,0.925,0.3,wn,5,23.0,miaoyining
144,0.975,0.3,wn,0,24.0,miaoyining
145,0.925,0.3,wn,1,24.0,miaoyining
146,0.975,0.3,wn,2,24.0,miaoyining
147,0.95,0.3,wn,3,24.0,miaoyining
148,0.975,0.3,wn,4,24.0,miaoyining
149,0.95,0.3,wn,5,24.0,miaoyining
150,0.925,0.3,wn,0,25.0,miaoyining
151,0.975,0.3,wn,1,25.0,miaoyining
152,0.95,0.3,wn,2,25.0,miaoyining
153,0.95,0.3,wn,3,25.0,miaoyining
154,0.925,0.3,wn,4,25.0,miaoyining
155,0.975,0.3,wn,5,25.0,miaoyining
156,0.975,0.3,wn,0,26.0,miaoyining
157,0.975,0.3,wn,1,26.0,miaoyining
158,0.925,0.3,wn,2,26.0,miaoyining
159,0.975,0.3,wn,3,26.0,miaoyining
160,0.975,0.3,wn,4,26.0,miaoyining
161,0.975,0.3,wn,5,26.0,miaoyining
162,0.95,0.3,wn,0,27.0,miaoyining
163,0.975,0.3,wn,1,27.0,miaoyining
164,0.975,0.3,wn,2,27.0,miaoyining
165,0.975,0.3,wn,3,27.0,miaoyining
166,0.95,0.3,wn,4,27.0,miaoyining
167,1.0,0.3,wn,5,27.0,miaoyining
168,0.975,0.3,wn,0,28.0,miaoyining
169,0.975,0.3,wn,1,28.0,miaoyining
170,0.925,0.3,wn,2,28.0,miaoyining
171,1.0,0.3,wn,3,28.0,miaoyining
172,0.975,0.3,wn,4,28.0,miaoyining
173,0.95,0.3,wn,5,28.0,miaoyining
174,0.925,0.3,wn,0,29.0,miaoyining
175,0.925,0.3,wn,1,29.0,miaoyining
176,0.9,0.3,wn,2,29.0,miaoyining
177,0.925,0.3,wn,3,29.0,miaoyining
178,0.95,0.3,wn,4,29.0,miaoyining
179,0.925,0.3,wn,5,29.0,miaoyining
180,0.975,0.3,wn,0,30.0,miaoyining
181,0.925,0.3,wn,1,30.0,miaoyining
182,0.975,0.3,wn,2,30.0,miaoyining
183,0.975,0.3,wn,3,30.0,miaoyining
184,0.975,0.3,wn,4,30.0,miaoyining
185,1.0,0.3,wn,5,30.0,miaoyining
186,0.925,0.3,wn,0,31.0,miaoyining
187,0.85,0.3,wn,1,31.0,miaoyining
188,0.975,0.3,wn,2,31.0,miaoyining
189,0.975,0.3,wn,3,31.0,miaoyining
190,0.925,0.3,wn,4,31.0,miaoyining
191,0.95,0.3,wn,5,31.0,miaoyining
192,1.0,0.3,wn,0,32.0,miaoyining
193,0.95,0.3,wn,1,32.0,miaoyining
194,0.975,0.3,wn,2,32.0,miaoyining
195,0.95,0.3,wn,3,32.0,miaoyining
196,0.975,0.3,wn,4,32.0,miaoyining
197,1.0,0.3,wn,5,32.0,miaoyining
198,0.95,0.3,wn,0,33.0,miaoyining
199,0.95,0.3,wn,1,33.0,miaoyining
200,0.95,0.3,wn,2,33.0,miaoyining
201,1.0,0.3,wn,3,33.0,miaoyining
202,0.975,0.3,wn,4,33.0,miaoyining
203,1.0,0.3,wn,5,33.0,miaoyining
204,0.95,0.3,wn,0,34.0,miaoyining
205,0.95,0.3,wn,1,34.0,miaoyining
