,score,winLEN,tag,cv,seed,subject
127,0.9,0.3,wn,1,21.0,shinanlin
128,0.875,0.3,wn,2,21.0,shinanlin
129,0.875,0.3,wn,3,21.0,shinanlin
130,0.925,0.3,wn,4,21.0,shinanlin
131,0.9,0.3,wn,5,21.0,shinanlin
132,0.9,0.3,wn,0,22.0,shinanlin
133,0.75,0.3,wn,1,22.0,shinanlin
134,0.9,0.3,wn,2,22.0,shinanlin
135,0.875,0.3,wn,3,22.0,shinanlin
136,0.9,0.3,wn,4,22.0,shinanlin
137,0.875,0.3,wn,5,22.0,shinanlin
138,0.875,0.3,wn,0,23.0,shinanlin
139,0.875,0.3,wn,1,23.0,shinanlin
140,0.775,0.3,wn,2,23.0,shinanlin
141,0.825,0.3,wn,3,23.0,shinanlin
142,0.925,0.3,wn,4,23.0,shinanlin
143,0.875,0.3,wn,5,23.0,shinanlin
144,0.825,0.3,wn,0,24.0,shinanlin
145,0.8,0.3,wn,1,24.0,shinanlin
146,0.875,0.3,wn,2,24.0,shinanlin
147,0.875,0.3,wn,3,24.0,shinanlin
148,0.875,0.3,wn,4,24.0,shinanlin
149,0.9,0.3,wn,5,24.0,shinanlin
150,0.925,0.3,wn,0,25.0,shinanlin
151,0.9,0.3,wn,1,25.0,shinanlin
152,0.975,0.3,wn,2,25.0,shinanlin
153,0.95,0.3,wn,3,25.0,shinanlin
154,0.8,0.3,wn,4,25.0,shinanlin
155,0.925,0.3,wn,5,25.0,shinanlin
156,0.875,0.3,wn,0,26.0,shinanlin
157,0.875,0.3,wn,1,26.0,shinanlin
158,0.9,0.3,wn,2,26.0,shinanlin
159,0.95,0.3,wn,3,26.0,shinanlin
160,0.975,0.3,wn,4,26.0,shinanlin
161,0.925,0.3,wn,5,26.0,shinanlin
162,0.925,0.3,wn,0,27.0,shinanlin
163,0.925,0.3,wn,1,27.0,shinanlin
164,0.85,0.3,wn,2,27.0,shinanlin
165,0.975,0.3,wn,3,27.0,shinanlin
166,0.95,0.3,wn,4,27.0,shinanlin
167,0.875,0.3,wn,5,27.0,shinanlin
168,0.9,0.3,wn,0,28.0,shinanlin
